DATE,OHLC_OPEN,OHLC_HIGH,OHLC_LOW,OHLC_CLOSE,VOLUME,5D_MAVG,10D_MAVG
2015-10-05,110.08,111.37,109.07,110.78,52064743,110.352,112.44
2015-10-02,108.01,111.01,107.55,110.38,58019758,111.218,112.747
2015-10-01,109.07,109.62,107.31,109.58,63929100,112.302,113.181
2015-09-30,110.17,111.54,108.73,110.3,66473033,113.106,113.792
2015-09-29,112.83,113.51,107.86,109.06,73365384,113.974,114.514
2015-09-28,113.85,114.57,112.44,112.44,52109011,114.528,114.801
2015-09-25,116.44,116.69,114.02,114.71,56151926,114.276,114.751
2015-09-24,113.25,115.5,112.37,115,50219475,114.06,114.508
2015-09-23,113.63,114.72,113.3,114.32,35645658,114.478,114.091
2015-09-22,113.38,114.18,112.52,113.4,49809010,115.054,113.982
2015-09-21,113.67,115.37,113.66,115.21,46554289,115.074,113.388
2015-09-18,112.21,114.3,111.87,113.45,73418992,115.226,113.08
2015-09-17,115.66,116.49,113.72,113.92,63462713,114.956,112.922
2015-09-16,116.25,116.54,115.44,116.41,36909956,113.704,112.053
2015-09-15,115.93,116.53,114.42,116.28,43004052,112.91,111.701
2015-09-14,116.58,116.89,114.86,115.31,58201862,111.702,111.499
2015-09-11,111.79,114.21,111.76,114.21,49441846,110.934,111.37
2015-09-10,110.27,113.28,109.9,112.57,62675234,110.888,111.082
2015-09-09,113.76,114.02,109.77,110.15,84344438,110.402,110.441
2015-09-08,111.75,112.56,110.32,112.31,54114204,110.492,109.522
2015-09-04,108.97,110.45,108.51,109.27,49628615,111.296,109.171
2015-09-03,112.49,112.78,110.04,110.37,52906410,111.806,109.399
2015-09-02,110.23,112.34,109.13,112.34,61520170,111.276,109.666
2015-09-01,110.15,111.88,107.36,107.72,75988194,110.48,110.544
2015-08-31,112.03,114.53,112,112.76,55962842,108.552,110.984
2015-08-28,112.17,113.31,111.54,113.29,52896384,107.046,111.251
2015-08-27,112.23,113.24,110.02,112.92,83265146,106.992,111.474
2015-08-26,107.08,109.89,105.05,109.69,96226269,108.056,112.029
2015-08-25,111.11,111.11,103.5,103.74,102240208,110.608,113.004
2015-08-24,94.87,108.8,92,103.12,161454199,113.416,114.664
2015-08-21,110.43,111.9,105.64,105.76,126289223,115.456,115.64
2015-08-20,114.08,114.35,111.63,112.65,67765523,115.956,115.888
2015-08-19,116.1,116.52,114.68,115.01,48286510,116.002,115.927
2015-08-18,116.43,117.44,116.01,116.5,34560708,115.4,115.741
2015-08-17,116.04,117.65,115.5,117.16,40884745,115.912,115.869
